,CertainAmount,Outcome1,Outcome2,isHappyBlock,Happiness,Outcome,time,subject_id,InterpHappiness,MoodTarget,Expected,Actual,CertCol,ExpectedCol,RPECol,Gamble,RutC,RutE,RutR,block
57,-4.05,-0.7,-7.4,True,,win,57,10001,0.65,0.9550000000000001,-4.05,-0.7,0.0,-4.05,3.3499999999999996,1.0,-0.0,-4.05,3.3499999999999996,3
58,-0.0020833329999999997,0.7,-0.7041666670000001,True,,lose,58,10001,0.65,0.9550000000000001,-0.002083333500000062,-0.7041666670000001,0.0,-0.002083333500000062,-0.7020833335000001,1.0,-0.0,-0.002083333500000062,-0.7020833335000001,3
59,3.25,13.9,6.5,True,0.65,win,59,10001,0.65,0.9550000000000001,10.2,13.9,0.0,10.2,3.700000000000001,1.0,0.0,10.2,3.700000000000001,3
60,2.175,12.1,4.35,True,,win,60,10001,0.65,0.9550000000000001,8.225,12.1,0.0,8.225,3.875,1.0,0.0,8.225,3.875,3
61,0.7,9.5,1.4,True,0.65,win,61,10001,0.65,0.9550000000000001,5.45,9.5,0.0,5.45,4.05,1.0,0.0,5.45,4.05,3
62,1.725,11.9,3.45,True,,win,62,10001,0.65,0.9550000000000001,7.675000000000001,11.9,0.0,7.675000000000001,4.225,1.0,0.0,7.675000000000001,4.225,3
63,5.575,12.7,11.15,True,0.7,lose,63,10001,0.7,0.9550000000000001,11.925,11.15,0.0,11.925,-0.7750000000000004,1.0,0.0,11.925,-0.7750000000000004,3
64,0.05,8.5,0.1,True,0.67,win,64,10001,0.67,0.9550000000000001,4.3,8.5,0.0,4.3,4.2,1.0,0.0,4.3,4.2,3
65,-0.525,8.1,-1.05,True,0.73,win,65,10001,0.73,0.9550000000000001,3.525,8.1,0.0,3.525,4.574999999999999,1.0,-0.0,3.525,4.574999999999999,3
66,5.9775,13.3,11.955,True,0.72,lose,66,10001,0.72,0.9550000000000001,12.627500000000001,11.955,0.0,12.627500000000001,-0.6725000000000012,1.0,0.0,12.627500000000001,-0.6725000000000012,3
67,0.6,5.1,-3.9,True,,win,67,10001,0.72,0.9550000000000001,0.5999999999999999,5.1,0.0,0.5999999999999999,4.5,1.0,0.0,0.5999999999999999,4.5,3
68,4.436666667,10.3,8.873333333,True,0.74,lose,68,10001,0.74,0.9550000000000001,9.586666666500001,8.873333333,0.0,9.586666666500001,-0.7133333335000014,1.0,0.0,9.586666666500001,-0.7133333335000014,3
69,-0.33,4.3,-4.96,True,0.74,win,69,10001,0.74,0.9550000000000001,-0.33000000000000007,4.3,0.0,-0.33000000000000007,4.63,1.0,-0.0,-0.33000000000000007,4.63,3
70,-1.46,3.3,-6.22,True,,certain,70,10001,0.74,0.9550000000000001,-1.46,-1.46,-1.46,0.0,0.0,0.0,-1.46,-0.0,0.0,3
71,3.8391666669999998,9.1,7.678333332999999,True,,lose,71,10001,0.74,0.9550000000000001,8.3891666665,7.678333332999999,0.0,8.3891666665,-0.7108333335000001,1.0,0.0,8.3891666665,-0.7108333335000001,3
72,0.378333333,1.1,-0.34333333299999996,True,0.69,certain,72,10001,0.69,0.9550000000000001,0.3783333335000001,0.378333333,0.378333333,0.0,0.0,0.0,0.378333333,0.0,0.0,3
73,0.325,11.7,0.65,True,,win,73,10001,0.69,0.9550000000000001,6.175,11.7,0.0,6.175,5.5249999999999995,1.0,0.0,6.175,5.5249999999999995,3
74,-1.83,7.7,-3.66,True,0.7,win,74,10001,0.7,0.9550000000000001,2.02,7.7,0.0,2.02,5.68,1.0,-0.0,2.02,5.68,3
